Title,Title20,Country/Region,SCIE,SSCI,AHCI,ESCI
INTERNATIONAL JOURNAL OF MECHANICAL AND MATERIALS ENGINEERING,INT J MECH MATER ENG,GERMANY,,,,X
INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES,INT J MECH SCI,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF MEDICAL DENTISTRY,INT J MED DENT,ROMANIA,,,,X
INTERNATIONAL JOURNAL OF MEDICAL EDUCATION,INT J MED EDUC,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,INT J MED INFORM,IRELAND,X,,,
INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY,INT J MED MICROBIOL,GERMANY,X,,,
INTERNATIONAL JOURNAL OF MEDICINAL MUSHROOMS,INT J MED MUSHROOMS,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF MEDICAL ROBOTICS AND COMPUTER ASSISTED SURGERY,INT J MED ROBOT COMP,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF MEDICAL SCIENCES,INT J MED SCI,AUSTRALIA,X,,,
INTERNATIONAL JOURNAL OF MEDICAL TOXICOLOGY AND FORENSIC MEDICINE,INT J MED TOX FORENS,IRAN,,,,X
INTERNATIONAL JOURNAL OF MEDIA & CULTURAL POLITICS,INT J MEDIA CULT POL,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF MENTORING AND COACHING IN EDUCATION,INT J MENT COACH EDU,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF MENTAL HEALTH,INT J MENT HEALTH,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,INT J MENT HEALTH AD,UNITED STATES,X,X,,
INTERNATIONAL JOURNAL OF MENTAL HEALTH NURSING,INT J MENT HEALTH NU,AUSTRALIA,X,X,,
INTERNATIONAL JOURNAL OF MENTAL HEALTH PROMOTION,INT J MENT HEALTH PR,UNITED STATES,,X,,
INTERNATIONAL JOURNAL OF MENTAL HEALTH SYSTEMS,INT J MENT HEALTH SY,ENGLAND,,X,,
INTERNATIONAL JOURNAL OF METALCASTING,INT J METALCAST,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF METHODS IN PSYCHIATRIC RESEARCH,INT J METH PSYCH RES,ENGLAND,X,X,,
INTERNATIONAL JOURNAL OF MICRO AIR VEHICLES,INT J MICRO AIR VEH,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF MICROBIOLOGY,INT J MICROBIOL,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF MICROGRAVITY SCIENCE AND APPLICATION,INT J MICROGRAVITY S,JAPAN,,,,X
INTERNATIONAL JOURNAL OF MICROWAVE AND WIRELESS TECHNOLOGIES,INT J MICROW WIREL T,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES,INT J MIDDLE E STUD,UNITED STATES,,X,,
INTERNATIONAL JOURNAL OF MIGRATION HEALTH AND SOCIAL CARE,INT J MIGR HEALTH SO,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF MILITARY HISTORY AND HISTORIOGRAPHY,INT J MIL HIST HIS,NETHERLANDS,,,,X
INTERNATIONAL JOURNAL OF MINERALS METALLURGY AND MATERIALS,INT J MIN MET MATER,PEOPLES R CHINA,X,,,
INTERNATIONAL JOURNAL OF MINING RECLAMATION AND ENVIRONMENT,INT J MIN RECLAM ENV,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF MINING SCIENCE AND TECHNOLOGY,INT J MIN SCI TECHNO,PEOPLES R CHINA,X,,,
INTERNATIONAL JOURNAL ON MINORITY AND GROUP RIGHTS,INT J MINOR GROUP RI,NETHERLANDS,,,,X
INTERNATIONAL JOURNAL OF MOBILE AND BLENDED LEARNING,INT J MOB BLENDED LE,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF MOBILE COMMUNICATIONS,INT J MOB COMMUN,ENGLAND,,X,,
INTERNATIONAL JOURNAL OF MOBILE COMPUTING AND MULTIMEDIA COMMUNICATIONS,INT J MOB COMPUT MUL,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF MOBILE HUMAN COMPUTER INTERACTION,INT J MOB HUM COMPUT,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF MODERN PHYSICS A,INT J MOD PHYS A,SINGAPORE,X,,,
INTERNATIONAL JOURNAL OF MODERN PHYSICS B,INT J MOD PHYS B,SINGAPORE,X,,,
INTERNATIONAL JOURNAL OF MODERN PHYSICS C,INT J MOD PHYS C,SINGAPORE,X,,,
INTERNATIONAL JOURNAL OF MODERN PHYSICS D,INT J MOD PHYS D,SINGAPORE,X,,,
INTERNATIONAL JOURNAL OF MODERN PHYSICS E,INT J MOD PHYS E,SINGAPORE,X,,,
INTERNATIONAL JOURNAL OF MODELLING IDENTIFICATION AND CONTROL,INT J MODEL IDENTIF,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF MODELLING AND SIMULATION,INT J MODEL SIMUL,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF MODELING SIMULATION AND SCIENTIFIC COMPUTING,INT J MODEL SIMUL SC,SINGAPORE,,,,X
INTERNATIONAL JOURNAL OF MOLECULAR AND CELLULAR MEDICINE,INT J MOL CELL MED,IRAN,,,,X
INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE,INT J MOL MED,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,INT J MOL SCI,SWITZERLAND,X,,,
INTERNATIONAL JOURNAL OF MORPHOLOGY,INT J MORPHOL,CHILE,X,,,
INTERNATIONAL JOURNAL OF MULTICULTURAL EDUCATION,INT J MULTICULT EDUC,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF MULTILINGUALISM,INT J MULTILING,ENGLAND,,X,X,
INTERNATIONAL JOURNAL OF MULTIMEDIA DATA ENGINEERING & MANAGEMENT,INT J MULTIMED DATA,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF MULTIMEDIA INFORMATION RETRIEVAL,INT J MULTIMED INF R,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF MULTIPHASE FLOW,INT J MULTIPHAS FLOW,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF MULTIPHYSICS,INT J MULTIPHYSICS,ENGLAND,,,,X
INTERNATIONAL JOURNAL FOR MULTISCALE COMPUTATIONAL ENGINEERING,INT J MULTISCALE COM,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF MUSIC EDUCATION,INT J MUSIC EDUC,ENGLAND,,X,X,
INTERNATIONAL JOURNAL OF MYCOBACTERIOLOGY,INT J MYCOBACT,INDIA,,,,X
INTERNATIONAL JOURNAL OF NANO DIMENSION,INT J NANO DIMENS,IRAN,,,,X
INTERNATIONAL JOURNAL OF NANOELECTRONICS AND MATERIALS,INT J NANOELECTRON M,MALAYSIA,,,,X
INTERNATIONAL JOURNAL OF NANOMEDICINE,INT J NANOMED,NEW ZEALAND,X,,,
INTERNATIONAL JOURNAL OF NANOSCIENCE,INT J NANOSCI,SINGAPORE,,,,X
INTERNATIONAL JOURNAL OF NANOTECHNOLOGY,INT J NANOTECHNOL,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF NAUTICAL ARCHAEOLOGY,INT J NAUT ARCHAEOL,ENGLAND,,,X,
INTERNATIONAL JOURNAL OF NAVAL ARCHITECTURE AND OCEAN ENGINEERING,INT J NAV ARCH OCEAN,SOUTH KOREA,X,,,
INTERNATIONAL JOURNAL OF NEONATAL SCREENING,INT J NEONAT SCREEN,SWITZERLAND,,,,X
INTERNATIONAL JOURNAL OF NEPHROLOGY,INT J NEPHROL,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF NEPHROLOGY AND RENOVASCULAR DISEASE,INT J NEPHROL RENOV,NEW ZEALAND,,,,X
INTERNATIONAL JOURNAL OF NETWORKED AND DISTRIBUTED COMPUTING,INT J NETW DISTRIB C,NETHERLANDS,,,,X
INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT,INT J NETW MANAG,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF NEURAL SYSTEMS,INT J NEURAL SYST,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,INT J NEUROPSYCHOPH,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF NEUROSCIENCE,INT J NEUROSCI,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF NEXT-GENERATION COMPUTING,INT J NEXT-GENER COM,INDIA,,,,X
INTERNATIONAL JOURNAL OF NONCOMMUNICABLE DISEASES,INT J NONCOMMUN DIS,INDIA,,,,X
INTERNATIONAL JOURNAL OF NON-LINEAR MECHANICS,INT J NONLIN MECH,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF NONLINEAR SCIENCES AND NUMERICAL SIMULATION,INT J NONLIN SCI NUM,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF NONLINEAR ANALYSIS AND APPLICATIONS,INT J NONLINEAR ANAL,IRAN,,,,X
INTERNATIONAL JOURNAL OF NONPROFIT AND VOLUNTARY SECTOR MARKETING,INT J NONPROFIT VOLU,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF NUMBER THEORY,INT J NUMBER THEORY,SINGAPORE,X,,,
INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS,INT J NUMER ANAL MET,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF NUMERICAL ANALYSIS AND MODELING,INT J NUMER ANAL MOD,CANADA,X,,,
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING,INT J NUMER METH BIO,ENGLAND,X,,,
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,INT J NUMER METH ENG,ENGLAND,X,,,
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,INT J NUMER METH FL,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,INT J NUMER METHOD H,WALES,X,,,
INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS,INT J NUMER MODEL EL,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF NURSING KNOWLEDGE,INT J NURS KNOWL,UNITED STATES,X,X,,
INTERNATIONAL JOURNAL OF NURSING PRACTICE,INT J NURS PRACT,AUSTRALIA,X,X,,
INTERNATIONAL JOURNAL OF NURSING SCIENCES,INT J NURS SCI,PEOPLES R CHINA,,,,X
INTERNATIONAL JOURNAL OF NURSING STUDIES,INT J NURS STUD,ENGLAND,X,X,,
INTERNATIONAL JOURNAL OF OBESITY,INT J OBESITY,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,INT J OBSTET ANESTH,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,INT J OCCUP ENV MED,IRAN,,,,X
INTERNATIONAL JOURNAL OF OCCUPATIONAL MEDICINE AND ENVIRONMENTAL HEALTH,INT J OCCUP MED ENV,POLAND,X,,,
INTERNATIONAL JOURNAL OF OCCUPATIONAL SAFETY AND ERGONOMICS,INT J OCCUP SAF ERGO,POLAND,,X,,
INTERNATIONAL JOURNAL OF ODONATOLOGY,INT J ODONATOL,GERMANY,X,,,
INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,INT J OFFENDER THER,UNITED STATES,,X,,
INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,INT J OFFSHORE POLAR,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF OIL GAS AND COAL TECHNOLOGY,INT J OIL GAS COAL T,SWITZERLAND,X,,,
INTERNATIONAL JOURNAL OF OLDER PEOPLE NURSING,INT J OLDER PEOPLE N,ENGLAND,X,X,,
INTERNATIONAL JOURNAL OF ONCOLOGY,INT J ONCOL,GREECE,X,,,
INTERNATIONAL JOURNAL OF ONLINE AND BIOMEDICAL ENGINEERING,INT J ONLINE BIOMED,AUSTRIA,,,,X
INTERNATIONAL JOURNAL OF ONLINE MARKETING,INT J ONLINE MARKET,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF ONLINE PEDAGOGY AND COURSE DESIGN,INT J ONLINE PEDAGOG,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,INT J OPER PROD MAN,ENGLAND,,X,,
INTERNATIONAL JOURNAL OF OPHTHALMOLOGY,INT J OPHTHALMOL-CHI,PEOPLES R CHINA,X,,,
INTERNATIONAL JOURNAL OF OPTICS,INT J OPT,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF OPTOMECHATRONICS,INT J OPTOMECHATRONI,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF ORAL IMPLANTOLOGY,INT J ORAL IMPL,GERMANY,X,,,
INTERNATIONAL JOURNAL OF ORAL & MAXILLOFACIAL IMPLANTS,INT J ORAL MAX IMPL,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,INT J ORAL MAX SURG,SCOTLAND,X,,,
INTERNATIONAL JOURNAL OF ORAL SCIENCE,INT J ORAL SCI,PEOPLES R CHINA,X,,,
INTERNATIONAL JOURNAL OF ORGANIZATIONAL ANALYSIS,INT J ORGAN ANAL,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF ORGANIZATIONAL LEADERSHIP,INT J ORGAN LEADERSH,CANADA,,,,X
INTERNATIONAL JOURNAL OF ORTHODONTIC REHABILITATION,INT J ORTHOD REHABIL,INDIA,,,,X
INTERNATIONAL JOURNAL OF ORTHOPAEDIC AND TRAUMA NURSING,INT J ORTHOP TRAUMA,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY,INT J OSTEOARCHAEOL,ENGLAND,,X,X,
INTERNATIONAL JOURNAL OF OSTEOPATHIC MEDICINE,INT J OSTEOPATH MED,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF PAEDIATRIC DENTISTRY,INT J PAEDIATR DENT,DENMARK,X,,,
INTERNATIONAL JOURNAL OF PALEOPATHOLOGY,INT J PALEOPATHOL,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF PALLIATIVE NURSING,INT J PALLIAT NURS,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF PARALLEL EMERGENT AND DISTRIBUTED SYSTEMS,INT J PARALLEL EMERG,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING,INT J PARALLEL PROG,UNITED STATES,X,,,
INTERNATIONAL JOURNAL FOR PARASITOLOGY,INT J PARASITOL,ENGLAND,X,,,
INTERNATIONAL JOURNAL FOR PARASITOLOGY-DRUGS AND DRUG RESISTANCE,INT J PARASITOL-DRUG,ENGLAND,X,,,
INTERNATIONAL JOURNAL FOR PARASITOLOGY-PARASITES AND WILDLIFE,INT J PARASITOL-PAR,AUSTRALIA,X,,,
INTERNATIONAL JOURNAL OF PARTICLE THERAPY,INT J PART THER,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,INT J PATTERN RECOGN,SINGAPORE,X,,,
INTERNATIONAL JOURNAL OF PAVEMENT ENGINEERING,INT J PAVEMENT ENG,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF PEDIATRICS,INT J PEDIAT,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF PEDIATRIC OTORHINOLARYNGOLOGY,INT J PEDIATR OTORHI,NETHERLANDS,X,,,
INTERNATIONAL JOURNAL OF PEDIATRICS-MASHHAD,INT J PEDIATR-MASSHA,IRAN,,,,X
INTERNATIONAL JOURNAL OF PEPTIDE RESEARCH AND THERAPEUTICS,INT J PEPT RES THER,NETHERLANDS,X,,,
INTERNATIONAL JOURNAL OF PERFORMANCE ANALYSIS IN SPORT,INT J PERF ANAL SPOR,WALES,X,,,
INTERNATIONAL JOURNAL OF PERFORMANCE ARTS AND DIGITAL MEDIA,INT J PERF ART DIGIT,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF PERIODONTICS & RESTORATIVE DENTISTRY,INT J PERIODONT REST,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF PERSIAN LITERATURE,INT J PERSIAN LIT,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF PERVASIVE COMPUTING AND COMMUNICATIONS,INT J PERVASIVE COMP,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF PEST MANAGEMENT,INT J PEST MANAGE,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF PHARMACEUTICAL AND HEALTHCARE MARKETING,INT J PHARM HEALTHC,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF PHARMACEUTICAL INVESTIGATION,INT J PHARM INVESTIG,INDIA,,,,X
INTERNATIONAL JOURNAL OF PHARMACY PRACTICE,INT J PHARM PRACT,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF PHARMACEUTICAL RESEARCH AND ALLIED SCIENCES,INT J PHARM RES ALLI,INDIA,,,,X
INTERNATIONAL JOURNAL OF PHARMACEUTICS,INT J PHARMACEUT,NETHERLANDS,X,,,
INTERNATIONAL JOURNAL OF PHARMACOLOGY,INT J PHARMACOL,PAKISTAN,X,,,
INTERNATIONAL JOURNAL OF PHARMACEUTICS-X,INT J PHARM-X,NETHERLANDS,X,,,
INTERNATIONAL JOURNAL FOR PHILOSOPHY OF RELIGION,INT J PHILOS RELIG,NETHERLANDS,,,X,
INTERNATIONAL JOURNAL OF PHILOSOPHICAL STUDIES,INT J PHILOS STUD,ENGLAND,,,X,
INTERNATIONAL JOURNAL OF PHILOSOPHY AND THEOLOGY,INT J PHILOS THEOL,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF PHOTOENERGY,INT J PHOTOENERGY,EGYPT,X,,,
INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT,INT J PHYS DISTR LOG,ENGLAND,,X,,
INTERNATIONAL JOURNAL OF PHYSICAL MODELLING IN GEOTECHNICS,INT J PHYS MODEL GEO,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF PHYSIOTHERAPY,INT J PHYSIOTHER,INDIA,,,,X
INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,INT J PHYTOREMEDIAT,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF PLANT PRODUCTION,INT J PLANT PROD,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF PLANT SCIENCES,INT J PLANT SCI,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF PLASTICITY,INT J PLASTICITY,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF THE PLATONIC TRADITION,INT J PLATONIC TRADI,NETHERLANDS,,,X,
INTERNATIONAL JOURNAL OF PLAY,INT J PLAY,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF POLITICAL ECONOMY,INT J POLIT ECON,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF POLITICS CULTURE AND SOCIETY,INT J POLITICS CULT,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF POLYMER ANALYSIS AND CHARACTERIZATION,INT J POLYM ANAL CH,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF POLYMERIC MATERIALS AND POLYMERIC BIOMATERIALS,INT J POLYM MATER PO,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF POLYMER SCIENCE,INT J POLYM SCI,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF POWDER METALLURGY,INT J POWDER METALL,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF POWER AND ENERGY SYSTEMS,INT J POWER ENERGY S,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF PRECISION ENGINEERING AND MANUFACTURING-GREEN TECHNOLOGY,INT J PR ENG MAN-GT,SOUTH KOREA,X,,,
INTERNATIONAL JOURNAL OF PRACTICAL THEOLOGY,INT J PRACT THEOL,GERMANY,,,,X
INTERNATIONAL JOURNAL OF PRECISION ENGINEERING AND MANUFACTURING,INT J PRECIS ENG MAN,SOUTH KOREA,X,,,
INTERNATIONAL JOURNAL OF PRESSURE VESSELS AND PIPING,INT J PRES VES PIP,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF PRESS-POLITICS,INT J PRESS/POLIT,UNITED STATES,,X,,
INTERNATIONAL JOURNAL OF PREVENTIVE MEDICINE,INT J PREVENTIVE MED,IRAN,,,,X
INTERNATIONAL JOURNAL OF PRIMATOLOGY,INT J PRIMATOL,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF PRISONER HEALTH,INT J PRISON HEALTH,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,NETHERLANDS,X,,,
INTERNATIONAL JOURNAL OF PRODUCTION MANAGEMENT AND ENGINEERING,INT J PROD MANAG ENG,SPAIN,,,,X
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,INT J PROD RES,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF PRODUCTIVITY AND PERFORMANCE MANAGEMENT,INT J PRODUCT PERFOR,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF PROGNOSTICS AND HEALTH MANAGEMENT,INT J PROGN HEALTH M,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,INT J PROJ MANAG,ENGLAND,,X,,
INTERNATIONAL JOURNAL OF PROSTHODONTICS,INT J PROSTHODONT,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF PROTECTIVE STRUCTURES,INT J PROT STRUCT,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF PSYCHIATRY IN CLINICAL PRACTICE,INT J PSYCHIAT CLIN,NORWAY,X,,,
INTERNATIONAL JOURNAL OF PSYCHIATRY IN MEDICINE,INT J PSYCHIAT MED,UNITED STATES,X,X,,
INTERNATIONAL JOURNAL OF PSYCHOANALYSIS,INT J PSYCHOANAL,ENGLAND,,X,,
INTERNATIONAL JOURNAL OF PSYCHOLOGY,INT J PSYCHOL,ENGLAND,,X,,
INTERNATIONAL JOURNAL OF PSYCHOLOGY AND PSYCHOLOGICAL THERAPY,INT J PSYCHOL PSYCHO,SPAIN,,,,X
INTERNATIONAL JOURNAL FOR THE PSYCHOLOGY OF RELIGION,INT J PSYCHOL RELIG,UNITED STATES,,X,X,
INTERNATIONAL JOURNAL OF PSYCHOLOGICAL RESEARCH,INT J PSYCHOL RES,COLOMBIA,,X,,
INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,INT J PSYCHOPHYSIOL,NETHERLANDS,X,X,,
INTERNATIONAL JOURNAL OF PUBLIC ADMINISTRATION IN THE DIGITAL AGE,INT J PUBLIC ADM DIG,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF PUBLIC ADMINISTRATION,INT J PUBLIC ADMIN,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF PUBLIC HEALTH,INT J PUBLIC HEALTH,SWITZERLAND,X,X,,
INTERNATIONAL JOURNAL OF PUBLIC OPINION RESEARCH,INT J PUBLIC OPIN R,ENGLAND,,X,,
INTERNATIONAL JOURNAL OF PUBLIC SECTOR MANAGEMENT,INT J PUBLIC SECT MA,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF PUBLIC THEOLOGY,INT J PUBLIC THEOL,NETHERLANDS,,,X,
INTERNATIONAL JOURNAL OF PUBLIC LEADERSHIP,INT J PUBLIV LEADERS,ENGLAND,,,,X
INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE,INT J QUAL HEALTH C,ENGLAND,X,X,,
INTERNATIONAL JOURNAL OF QUALITATIVE METHODS,INT J QUAL METH,CANADA,,X,,
INTERNATIONAL JOURNAL OF QUALITY & RELIABILITY MANAGEMENT,INT J QUAL RELIAB MA,ENGLAND,,,,X
INTERNATIONAL JOURNAL FOR QUALITY RESEARCH,INT J QUAL RES,MONTENEGRO,,,,X
INTERNATIONAL JOURNAL OF QUALITY AND SERVICE SCIENCES,INT J QUAL SERV SCI,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF QUALITATIVE STUDIES IN EDUCATION,INT J QUAL STUD EDUC,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF QUALITATIVE STUDIES ON HEALTH AND WELL-BEING,INT J QUAL STUD HEAL,ENGLAND,,X,,
INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,INT J QUANTUM CHEM,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF QUANTUM INFORMATION,INT J QUANTUM INF,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF RADIATION BIOLOGY,INT J RADIAT BIOL,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,INT J RADIAT ONCOL,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF RADIATION RESEARCH,INT J RADIAT RES,IRAN,X,,,
INTERNATIONAL JOURNAL OF RAIL TRANSPORTATION,INT J RAIL TRANSP,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF RECONFIGURABLE COMPUTING,INT J RECONFIGURABLE,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF RECYCLING OF ORGANIC WASTE IN AGRICULTURE,INT J RECYCLING ORG,IRAN,,,,X
INTERNATIONAL JOURNAL OF REFRACTORY METALS & HARD MATERIALS,INT J REFRACT MET H,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF REFRIGERATION,INT J REFRIG,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF REFUGEE LAW,INT J REFUG LAW,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF REHABILITATION RESEARCH,INT J REHABIL RES,UNITED STATES,X,X,,
INTERNATIONAL JOURNAL OF RELIABILITY QUALITY AND SAFETY ENGINEERING,INT J RELIAB QUAL SA,SINGAPORE,,,,X
INTERNATIONAL JOURNAL OF REMOTE SENSING,INT J REMOTE SENS,ENGLAND,X,,,
INTERNATIONAL JOURNAL OF RENEWABLE ENERGY DEVELOPMENT-IJRED,INT J RENEW ENERGY D,INDONESIA,,,,X
INTERNATIONAL JOURNAL OF RENEWABLE ENERGY RESEARCH,INT J RENEW ENERGY R,TURKEY,,,,X
INTERNATIONAL JOURNAL OF REPRODUCTIVE BIOMEDICINE,INT J REPROD BIOMED,IRAN,,,,X
INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,INT J RES MARK,NETHERLANDS,,X,,
INTERNATIONAL JOURNAL OF RESEARCH & METHOD IN EDUCATION,INT J RES METHOD EDU,ENGLAND,,,,X
INTERNATIONAL JOURNAL OF RESEARCH IN UNDERGRADUATE MATHEMATICS EDUCATION,INT J RES UN MATH ED,SWITZERLAND,,,,X
INTERNATIONAL JOURNAL OF RETAIL & DISTRIBUTION MANAGEMENT,INT J RETAIL DISTRIB,ENGLAND,,X,,
INTERNATIONAL JOURNAL OF RETINA AND VITREOUS,INT J RETINA VITR,BRAZIL,,,,X
INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING,INT J RF MICROW C E,UNITED STATES,X,,,
INTERNATIONAL JOURNAL OF RF TECHNOLOGIES-RESEARCH AND APPLICATIONS,INT J RF TECHNOL-RES,NETHERLANDS,,,,X
INTERNATIONAL JOURNAL OF RHEUMATIC DISEASES,INT J RHEUM DIS,AUSTRALIA,X,,,
INTERNATIONAL JOURNAL OF RHEUMATOLOGY,INT J RHEUMATOL,UNITED STATES,,,,X
INTERNATIONAL JOURNAL OF RISK & SAFETY IN MEDICINE,INT J RISK SAF MED,NETHERLANDS,,,,X
